fold,train_acc,val_acc,gap_train_minus_val
1,0.8686111111111111,0.80875,0.05986111111111114
2,0.86625,0.815,0.05125000000000002
3,0.8654166666666666,0.82,0.04541666666666666
4,0.8647222222222222,0.845,0.019722222222222197
5,0.86625,0.83625,0.029999999999999916
6,0.8693055555555556,0.80875,0.060555555555555585
7,0.8668055555555556,0.83,0.03680555555555565
8,0.8643055555555555,0.8275,0.036805555555555536
9,0.8647222222222222,0.82375,0.04097222222222219
10,0.8681944444444445,0.8075,0.060694444444444495
