w_lgb,w_xgb,accuracy
0.0,1.0,0.8297
0.05,0.95,0.83
0.1,0.9,0.8301
0.15000000000000002,0.85,0.8302
0.2,0.8,0.83
0.25,0.75,0.8301
0.30000000000000004,0.7,0.8306
0.35000000000000003,0.6499999999999999,0.8316
0.4,0.6,0.8317
0.45,0.55,0.8321
0.5,0.5,0.8322
0.55,0.44999999999999996,0.8319
0.6000000000000001,0.3999999999999999,0.832
0.65,0.35,0.8316
0.7000000000000001,0.29999999999999993,0.8316
0.75,0.25,0.8319
0.8,0.19999999999999996,0.8319
0.8500000000000001,0.1499999999999999,0.8318
0.9,0.09999999999999998,0.8322
0.9500000000000001,0.04999999999999993,0.8318
1.0,0.0,0.8316
