feature,action,reason,mean_importance
p1_base_hp_min,kept,kept,0.00527786398306489
p1_base_hp_std,kept,kept,0.0064395790919661525
p1_base_atk_sum,kept,kept,0.007463179156184196
p1_base_atk_max,kept,kept,0.008241679705679416
p1_base_atk_std,kept,kept,0.006444418895989656
p1_base_def_sum,kept,kept,0.005267310049384832
p1_base_def_max,kept,kept,0.009645483270287514
p1_base_def_std,kept,kept,0.006440171040594578
p1_base_spa_sum,kept,kept,0.006401682551950216
p1_base_spa_max,kept,kept,0.006431118212640285
p1_base_spa_std,kept,kept,0.006648866273462772
p1_base_spe_max,kept,kept,0.005521105695515871
p1_base_spe_min,kept,kept,0.008527379296720029
p1_base_spe_std,kept,kept,0.0052698514424264434
p1_n_unique_types,kept,kept,0.006828977633267641
p1_type_normal_count,kept,kept,0.006982734333723784
p1_type_fire_count,kept,kept,0.0008031599223613739
p1_type_water_count,kept,kept,0.006714211683720351
p1_type_electric_count,kept,kept,0.004991728160530329
p1_type_grass_count,kept,kept,0.004813888110220432
p1_type_psychic_count,kept,kept,0.008618930727243424
p1_type_ice_count,kept,kept,0.00659337304532528
p1_type_dragon_count,kept,kept,0.008729473128914833
p1_type_rock_count,kept,kept,0.0029124463442713024
p1_type_flying_count,kept,kept,0.004193003568798303
p1_spe_p25,kept,kept,0.007527417596429586
p1_spe_p75,kept,kept,0.005506075732409954
p2_lead_base_hp,kept,kept,0.007402282487601042
p2_lead_base_atk,kept,kept,0.006197327002882958
p2_lead_base_def,kept,kept,0.0055073592346161606
p2_lead_base_spe,kept,kept,0.00811678236350417
p2_lead_type_normal,kept,kept,0.0041547447443008425
p2_lead_type_water,kept,kept,0.010041912272572517
p2_lead_type_electric,kept,kept,0.0021725675091147424
p2_lead_type_grass,kept,kept,0.0010280752554535865
p2_lead_type_psychic,kept,kept,0.01222174298018217
p2_lead_type_ice,kept,kept,0.0010299867019057274
p2_lead_type_flying,kept,kept,0.004485077923163772
lead_diff_base_hp,kept,kept,0.009267460741102695
lead_diff_base_atk,kept,kept,0.005818792153149843
lead_diff_base_def,kept,kept,0.006027352437376976
lead_diff_base_spa,kept,kept,0.007031252793967724
lead_diff_base_spe,kept,kept,0.007602038513869047
lead_p1_vs_p2_effectiveness,kept,kept,0.005417877994477749
tl_p1_last_hp,kept,kept,0.009133008867502212
tl_p2_last_hp,kept,kept,0.011793332174420357
tl_p1_defensive_endurance,kept,kept,0.04055680334568024
tl_p1_inflicted_par_count,kept,kept,0.023946060612797738
tl_p2_inflicted_par_count,kept,kept,0.01816203072667122
tl_p1_inflicted_slp_count,kept,kept,0.027246765419840814
tl_p2_inflicted_slp_count,kept,kept,0.02451518438756466
tl_p1_inflicted_frz_count,kept,kept,0.028018508106470108
tl_p2_inflicted_frz_count,kept,kept,0.03014157935976982
tl_p1_inflicted_psn_count,kept,kept,0.0007353534456342459
tl_p1_inflicted_tox_count,kept,kept,0.007767768949270249
tl_p2_inflicted_tox_count,kept,kept,0.0075971814803779125
tl_p1_move_type_normal_count,kept,kept,0.00753734428435564
tl_p2_move_type_normal_count,kept,kept,0.005509577225893736
tl_move_type_normal_count_diff,kept,kept,0.007910143397748471
tl_p1_move_type_fire_count,kept,kept,0.012833047285676002
tl_p2_move_type_fire_count,kept,kept,0.009139224234968425
tl_move_type_fire_count_diff,kept,kept,0.011051960289478302
tl_p1_move_type_water_count,kept,kept,0.006613226607441902
tl_p2_move_type_water_count,kept,kept,0.005925953388214111
tl_move_type_water_count_diff,kept,kept,0.0062844851985573765
tl_p1_move_type_electric_count,kept,kept,0.006177031807601452
tl_p2_move_type_electric_count,kept,kept,0.005818363558501005
tl_move_type_electric_count_diff,kept,kept,0.005356137547641993
tl_p1_move_type_grass_count,kept,kept,0.006226611789315939
tl_p2_move_type_grass_count,kept,kept,0.005815599858760834
tl_move_type_grass_count_diff,kept,kept,0.006532004103064537
tl_p1_move_type_psychic_count,kept,kept,0.0067496937699615955
tl_p2_move_type_psychic_count,kept,kept,0.007048709131777286
tl_move_type_psychic_count_diff,kept,kept,0.009995681047439576
tl_p1_move_type_ice_count,kept,kept,0.006085534114390612
tl_p2_move_type_ice_count,kept,kept,0.006598763167858124
tl_move_type_ice_count_diff,kept,kept,0.0068785521201789376
tl_p1_move_type_rock_count,kept,kept,0.005245982063934207
tl_p2_move_type_rock_count,kept,kept,0.002441449463367462
tl_move_type_rock_count_diff,kept,kept,0.005334054585546255
tl_p1_move_type_ground_count,kept,kept,0.006020266562700272
tl_p2_move_type_ground_count,kept,kept,0.005841734819114208
tl_move_type_ground_count_diff,kept,kept,0.006312196422368288
tl_p1_move_type_flying_count,kept,kept,0.004246840067207813
tl_p2_move_type_flying_count,kept,kept,0.006810432858765125
tl_move_type_flying_count_diff,kept,kept,0.006775343138724565
tl_p1_move_type_ghost_count,kept,kept,0.008482391946017742
tl_p2_move_type_ghost_count,kept,kept,0.007126089930534363
tl_move_type_ghost_count_diff,kept,kept,0.008445525914430619
tl_p1_move_type_poison_count,kept,kept,0.012604101933538914
tl_p2_move_type_poison_count,kept,kept,0.005451007373631
tl_move_type_poison_count_diff,kept,kept,0.009327025152742863
tl_p1_move_type_fighting_count,kept,kept,0.007716753706336022
tl_p2_move_type_fighting_count,kept,kept,0.00675840126350522
tl_move_type_fighting_count_diff,kept,kept,0.01071431078016758
tl_p1_damage_first2,kept,kept,0.007362283207476139
tl_p2_damage_first2,kept,kept,0.006143917236477137
tl_last5_damage_diff,kept,kept,0.016647696122527124
tl_p1_last5_damage_ratio,kept,kept,0.0058914942666888235
tl_p2_last5_damage_ratio,kept,kept,0.005912511795759201
tl_last5_damage_ratio_diff,kept,kept,0.006036719772964716
tl_weighted_damage_diff,kept,kept,0.10534687042236328
tl_damage_adv_sign_flips,kept,kept,0.0058162353932857515
tl_comeback_flag,kept,kept,0.005712415557354689
team_hp_sum_minus_p2lead_hp,kept,kept,0.006261822208762169
team_spa_mean_minus_p2spa,kept,kept,0.0061541440896689895
speed_advantage,kept,kept,0.006107034254819154
damage_per_turn_diff,kept,kept,0.018458575010299683
p1_vs_lead_avg_effectiveness,kept,kept,0.006325713545084
p1_vs_lead_max_effectiveness,kept,kept,0.004758776421658695
p1_super_effective_options,kept,kept,0.006950882077217102
