model,accuracy,confusion_matrix,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
LightGBM,0.7957,"[[3980, 1020], [1023, 3977]]",0.7955226863881671,0.796,0.7957612716185144,5000.0,0.7958775265159096,0.7954,0.7956386916074822,5000.0,0.7957001064520384,0.7957000000000001,0.7956999816129984,10000.0,0.7957001064520384,0.7957,0.7956999816129983,10000.0
RandomForest,0.7972,"[[4003, 997], [1031, 3969]]",0.7951926897099721,0.8006,0.7978871835758421,5000.0,0.7992347966169956,0.7938,0.7965081276339554,5000.0,0.7972137431634838,0.7971999999999999,0.7971976556048987,10000.0,0.7972137431634839,0.7972,0.7971976556048987,10000.0
LogisticRegression,0.7986,"[[4001, 999], [1015, 3985]]",0.7976475279106858,0.8002,0.7989217252396166,5000.0,0.7995585874799358,0.797,0.7982772435897436,5000.0,0.7986030576953108,0.7986,0.7985994844146801,10000.0,0.7986030576953108,0.7986,0.7985994844146801,10000.0
SVC,0.7971,"[[4017, 983], [1046, 3954]]",0.7934031206794391,0.8034,0.7983702673159098,5000.0,0.8008912294915941,0.7908,0.7958136258428097,5000.0,0.7971471750855166,0.7970999999999999,0.7970919465793598,10000.0,0.7971471750855166,0.7971,0.7970919465793597,10000.0
KNN,0.719,"[[3647, 1353], [1457, 3543]]",0.7145376175548589,0.7294,0.7218923198733175,5000.0,0.7236519607843137,0.7086,0.7160468876313663,5000.0,0.7190947891695862,0.7190000000000001,0.7189696037523419,10000.0,0.7190947891695864,0.719,0.718969603752342,10000.0
GradientBoosting,0.8053,"[[4029, 971], [976, 4024]]",0.804995004995005,0.8058,0.8053973013493253,5000.0,0.8056056056056056,0.8048,0.8052026013006504,5000.0,0.8053003053003053,0.8052999999999999,0.8052999513249879,10000.0,0.8053003053003053,0.8053,0.8052999513249879,10000.0
XGBoost,0.8062,"[[4028, 972], [966, 4034]]",0.8065678814577493,0.8056,0.8060836501901141,5000.0,0.8058330003995205,0.8068,0.8063162102738357,5000.0,0.806200440928635,0.8062,0.8061999302319749,10000.0,0.8062004409286349,0.8062,0.8061999302319749,10000.0
CatBoost,0.8074,"[[4059, 941], [985, 4015]]",0.8047184773988898,0.8118,0.8082437275985663,5000.0,0.8101291364003228,0.803,0.8065488147850542,5000.0,0.8074238068996062,0.8074,0.8073962711918103,10000.0,0.8074238068996062,0.8074,0.8073962711918102,10000.0
DNN_Keras,0.7999,"[[4025, 975], [1026, 3974]]",0.7968719065531578,0.805,0.8009153318077803,5000.0,0.8029905031319459,0.7948,0.7988742587194693,5000.0,0.7999312048425518,0.7999,0.7998947952636248,10000.0,0.7999312048425518,0.7999,0.7998947952636248,10000.0
LSTM_Keras,0.7922,"[[4022, 978], [1100, 3900]]",0.7852401405700898,0.8044,0.7947046038332345,5000.0,0.7995079950799509,0.78,0.7896335290544645,5000.0,0.7923740678250204,0.7922,0.7921690664438494,10000.0,0.7923740678250204,0.7922,0.7921690664438494,10000.0
