threshold,accuracy,class_0_count,class_1_count
0.5050000000000001,0.831,5012,4988
0.47500000000000014,0.8308,4864,5136
0.5100000000000002,0.8308,5030,4970
0.4550000000000001,0.8307,4787,5213
0.47000000000000014,0.8307,4845,5155
0.46000000000000013,0.8307,4809,5191
0.5350000000000001,0.8306,5156,4844
0.5200000000000002,0.8305,5091,4909
0.46500000000000014,0.8305,4827,5173
0.5150000000000001,0.8304,5060,4940
0.5300000000000002,0.8303,5143,4857
0.5000000000000002,0.8302,4992,5008
0.5250000000000001,0.8302,5114,4886
0.4500000000000001,0.8299,4761,5239
0.48500000000000015,0.8299,4913,5087
0.49500000000000016,0.8298,4964,5036
0.48000000000000015,0.8297,4891,5109
0.4450000000000001,0.8296,4736,5264
0.49000000000000016,0.8295,4937,5063
0.4400000000000001,0.8294,4714,5286
0.5400000000000003,0.8294,5182,4818
0.5450000000000002,0.8292,5210,4790
0.5500000000000003,0.829,5230,4770
0.4350000000000001,0.8286,4686,5314
0.4250000000000001,0.8286,4642,5358
0.4300000000000001,0.8285,4661,5339
0.5550000000000002,0.8284,5250,4750
0.4200000000000001,0.8279,4621,5379
0.4150000000000001,0.8275,4599,5401
0.5600000000000003,0.8273,5275,4725
0.4100000000000001,0.8271,4571,5429
0.5650000000000002,0.8261,5297,4703
0.5700000000000003,0.826,5320,4680
0.4050000000000001,0.826,4544,5456
0.4000000000000001,0.8259,4527,5473
0.5800000000000003,0.8257,5367,4633
0.5750000000000002,0.825,5342,4658
0.3950000000000001,0.8249,4501,5499
0.5850000000000002,0.8248,5390,4610
0.5900000000000003,0.8245,5405,4595
0.39000000000000007,0.8241,4477,5523
0.5950000000000002,0.8239,5431,4569
0.6000000000000003,0.8239,5455,4545
0.38500000000000006,0.8236,4450,5550
0.6050000000000002,0.8232,5474,4526
0.37500000000000006,0.8232,4410,5590
0.38000000000000006,0.8227,4425,5575
0.37000000000000005,0.8226,4390,5610
0.6100000000000003,0.8225,5515,4485
0.36500000000000005,0.8217,4359,5641
0.6300000000000003,0.8217,5603,4397
0.6250000000000002,0.8215,5577,4423
0.6200000000000003,0.8215,5555,4445
0.6150000000000002,0.8211,5537,4463
0.6350000000000002,0.8211,5629,4371
0.35500000000000004,0.8209,4319,5681
0.36000000000000004,0.8208,4340,5660
0.6400000000000003,0.8207,5653,4347
0.6450000000000002,0.8207,5671,4329
0.35000000000000003,0.8195,4291,5709
0.6500000000000004,0.8191,5705,4295
0.34500000000000003,0.819,4268,5732
0.34,0.8184,4252,5748
0.335,0.8177,4227,5773
0.6550000000000002,0.8174,5730,4270
0.6600000000000004,0.8167,5761,4239
0.33,0.8167,4203,5797
0.6650000000000003,0.8161,5789,4211
0.325,0.8155,4167,5833
0.6700000000000004,0.8153,5811,4189
0.6750000000000003,0.8141,5839,4161
0.32,0.8139,4135,5865
0.6800000000000004,0.8133,5865,4135
0.315,0.8129,4115,5885
0.6850000000000003,0.8119,5897,4103
0.31,0.8113,4087,5913
0.6900000000000004,0.8104,5932,4068
0.305,0.8099,4057,5943
0.6950000000000003,0.8095,5965,4035
0.3,0.8088,4026,5974
